country_code	name	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
254	French Guiana	56.9	59.85	63.2	67.95	69.5	70.46	73	74.5	76	77.5	80.19	81.52	82.75	82.95	2018
328	Guyana	61.59	62.51	63.34	64.13	64.59	65.24	65.9	66.61	67.15	67.69	69.34	70.81	72.15	72.89	2018
600	Paraguay	64.66	65.23	66.42	66.99	67.62	68.44	69.45	70.02	71.18	72.07	73.2	74.23	75.15	76.2	2018
604	Peru	45.51	47.91	51.26	53.91	57.96	60.79	63.74	66.86	69.78	72.23	74.36	76.08	77.66	79.18	2018
740	Suriname	57.69	60.48	62.48	64.18	66.04	67.27	69.39	70.51	70.98	71.27	71.62	73.21	74.26	74.85	2018
858	Uruguay	69.4	70.43	71.64	71.92	72.2	73.12	74.54	75.81	76.92	77.99	78.9	80.02	80.67	81.3	2018
862	Venezuela (Bolivarian Republic of)	57.02	60.09	63.05	65.93	68.93	70.86	72.26	73.33	74.31	75.28	76.54	76.99	77.01	76.08	2018
36	Australia	72.29	73.58	74.24	74.35	75.33	77.21	78.56	79.4	80.69	81.66	82.84	83.77	84.45	85.22	2018
554	New Zealand	72.1	73.33	74.09	74.48	75	75.96	76.93	77.53	79.17	80.17	81.29	82.31	83.11	83.8	2018
928	Melanesia	37.35886083	40.91872967	44.32383643	47.93649342	51.4622519	54.63780987	57.66418545	59.20158953	60.61421386	61.81478767	62.75766986	64.17947377	65.52629836	66.8044175	2018
242	Fiji	56.31	60.79	63.43	64.65	65.06	65.92	66.88	67.71	67.25	67.12	67.88	67.98	68.6	69.08	2018
540	New Caledonia	52.09	55.99	59.9	63.31	66.26	68.82	71.03	72.93	74.58	76	77.24	78.32	79.31	80.16	2018
598	Papua New Guinea	34.8	37.92	41.2	44.89	48.72	52.12	55.51	57.17	58.87	60.27	61.18	62.73	64.13	65.45	2018
90	Solomon Islands	43.76	47.71	51.72	55.57	59.31	62.52	64.45	65.3	65.93	67.73	69.89	71.69	73.32	74.62	2018
548	Vanuatu	45.99	48.73	51.25	54.37	57.08	59.94	62.78	65.03	66.6	68.05	69.34	70.35	71.15	71.9	2018
954	Micronesia	53.18624217	55.24520808	57.46352213	59.61571	61.72218029	63.71817482	65.34996292	66.92667091	68.52801049	70.17262056	71.84912772	73.24187409	74.74194555	76.29470568	2018
316	Guam	59.68	62.18	64.68	67.08	69.23	70.98	72.48	73.83	75.03	76.6	78.5	80.3	81.8	83.3	2018
296	Kiribati	45.27	47.5	49.86	52.58	54.92	56.99	58.77	60.98	63.2	65.06	66.84	68.59	70.65	71.97	2018
583	Micronesia (Fed. States of)	53.5	55.53	57.66	59.7	61.71	63.49	64.37	64.8	65.39	65.81	66.62	67.67	68.59	69.38	2018
957	Polynesia	55.36586239	58.81579251	60.63600482	62.50397081	64.32818107	66.13509967	68.65569545	70.16022823	70.95114678	72.21833254	73.58557718	74.89727085	75.88778971	76.8842529	2018
258	French Polynesia	50	56.36	58.79	61.25	62.96	64.88	69.03	70.77	71.55	74.32	76.05	77.45	78.55	79.65	2018
882	Samoa	57.95	59.5	60.97	62.37	64.03	65.75	67.58	69.02	69.88	70.57	72.32	73.46	74.53	75.24	2018
776	Tonga	57.74	59.59	61.08	63.2	65.21	66.95	68.29	69.25	69.73	70.11	70.99	71.77	72.24	72.69	2018
923	Eastern Europe	63.22774595	68.36987652	71.40077028	72.51641287	73.09882431	73.20824187	73.35241633	74.09951151	73.60944619	73.44056975	73.77995625	75.12001804	77.10866363	78.38648112	2018
112	Belarus	63.38	68.82	71.61	73.25	73.86	74.18	74.42	75.73	74.83	73.11	73.65	75.19	77.95	79.34	2018
